날짜,금액,소분류,업종코드,대분류,중분류
2023.2.28,-39500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.28,-4990,온라인거래,ss068,전자상거래,전자상거래
2023.2.27,-2200,편의점,ss016,유통,편의점
2023.2.27,-40352,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
2023.2.27,-1648,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
2023.2.26,-40000,기타요식,ss008,요식/유흥,기타요식
2023.2.26,-2000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.2.25,-10000,한식,ss001,요식/유흥,한식
2023.2.24,-7400,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2023.2.23,-1600,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.23,-18000,한식,ss001,요식/유흥,한식
2023.2.22,-3500,편의점,ss016,유통,편의점
2023.2.22,-29950,의복/의류,ss021,의류/잡화,의복/의류
2023.2.21,-28800,한식,ss001,요식/유흥,한식
2023.2.20,-3560,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.20,-10800,화장품,ss043,미용,화장품
2023.2.19,-11500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.19,-1200,편의점,ss016,유통,편의점
2023.2.19,-9000,결제대행(PG),ss069,전자상거래,전자상거래
2023.2.19,-27000,결제대행(PG),ss069,전자상거래,전자상거래
2023.2.17,-14960,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.16,-47100,화장품,ss043,미용,화장품
2023.2.16,-2600,편의점,ss016,유통,편의점
2023.2.16,-8000,한식,ss001,요식/유흥,한식
2023.2.16,-16000,한식,ss001,요식/유흥,한식
2023.2.15,-5500,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.14,-9500,한식,ss001,요식/유흥,한식
2023.2.13,-25800,교통,ss040,여행/교통,교통
2023.2.13,-25044,결제대행(PG),ss069,전자상거래,전자상거래
2023.2.12,-17800,온라인거래,ss068,전자상거래,전자상거래
