name,category,benefits
롤라카드,"['연회비지원', '주유소', '할인점/슈퍼마켓', '커피전문점', '레저', '한식/일식/중식/양식', '영화/공연', '편의점', '프리미엄', '쇼핑']","['신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택', 'SK주유소소 롤라머니 1% 적립', '롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시', '롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시', '롤라머니 7% 적립 받기!롯데 그룹사에서 롤라카드로 결제 시', '롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시', '롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시', '롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시', '롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시', ""롤라머니 7% 적립롯데 그룹사에서 롤라카드로 결제 시'롤라머니'란?""]"
롯데 국민행복카드,"['국민행복카드', '레저', '교통', '육아', '교육', '종합병원/일반병원/치과병원/한의원/약국/기타의료', '쇼핑', '할인점/슈퍼마켓', '편의점', '한식/일식/중식/양식', '커피전문점', '화장품', '영화/공연', '통신']","['임신·출산·육아 등 국가바우처 서비스임신·출산 진료비 100만원 지원청소년산모 임신·출산 종합병원/일반병원/치과병원/한의원/약국/기타의료비 지원보육료·유아학비 지원(아이행복카드)산모·신생아 건강관리 지원사업아이돌봄 지원사업', '롯데 국민행복카드로롯데월드 50% 현장할인서울랜드 30% 현장할인', '롯데 국민행복카드로택시·시내버스·지하철 10% 청구할인', '롯데 국민행복카드로키자니아 30% 청구할인유원지, 놀이시설 10% 청구할인출산육아 특별 서비스', '롯데 국민행복카드로보육료·유아학비 10% 청구할인학원, 학습지 10% 청구할인', '롯데 국민행복카드로병원·약국·산후조리원 5% 청구할인', '롯데 국민행복카드로쇼핑 5% 청구할인토이저러스 청구할인, 무이자할부 혜택롯데백화점 현장할인 혜택롯데면세점 현장할인 혜택롯데ON 현장할인 혜택', '롯데 국민행복카드로롯데마트 5% 청구할인 & 무이자할부롯데슈퍼 3% 청구할인 & 무이자할부롯데마트 우리아이M클럽 서비스', '롯데 국민행복카드로세븐일레븐 10% 현장할인', ""롯데 국민행복카드로T.G.I.FRiDAY'S 현장할인미스터피자 15% 현장할인롯데리아 1천원당 50원 현장할인"", '롯데 국민행복카드로엔제리너스, 나뚜루 현장할인보네스뻬브래드 10% 현장할인', '롯데 국민행복카드로박준화장품랩·박승철헤어스투디오 현장할인', '롯데 국민행복카드로롯데시네마 영화/공연 관람료 청구할인', '롯데 국민행복카드로이동통신요금 2천원 청구할인']"
롯데 포인트플러스 카드,"['포인트/캐시백', '할인점/슈퍼마켓', '쇼핑', '주유소', '한식/일식/중식/양식', '레저', '영화/공연', '화장품']","['더블포인트 적립 서비스L.POINT 모든 제휴사에서', '6개월 슬림 할부 서비스롯데마트· 롯데슈퍼 무이자할부 서비스', '6개월 슬림 할부 서비스롯데백화점 5% 현장할인롯데면세점 최대 10% 현장할인토이저러스 3개월 무이자 할부 서비스', 'SK주유소소 리터당 50포인트 적립', ""T.G.I. FRiDAY'S10% 현장할인미스터피자 15% 현장할인"", '롯데월드 50% 현장할인경주월드·대전오월드·광주패밀리랜드·통도환타지아 50% 현장할인서울랜드 30% 현장할인', '롯데시네마 영화/공연관람료 청구할인', '박준화장품랩 20% 현장할인박승철헤어스투디오 15% 현장할인']"
zgm.the pay카드,"['언제나할인', '결제대행(PG)']","['국내외 전 가맹점 1.0% 청구할인', '온라인 결제대행(PG) 최대 1.7%청구할인']"
KB국민 가온올림카드(실속형),"['연회비지원', '포인트/캐시백', '교통', '한식/일식/중식/양식', '커피전문점', '언제나할인', '레저', '영화/공연', '금융', '통신', '편의점', '주유소', '할인점/슈퍼마켓', '화장품', '교육']","['온라인신규신청 연회비 100% 캐시백홈페이지 내 신용카드 최초 발급 시', '기본+추가 최대 1.7% 포인트리적립해외이용금액 1.7%할인 캐시백', '최대 1.7% 포인트리 적립교통 (버스, 지하철), 택시', '최대 1.7% 포인트리 적립일반음식점,레스토랑,뷔페 등 한식/일식/중식/양식업종', '최대 1.7% 포인트리 적립스타벅스, 커피빈 등 커피전문점', '전월실적·적립한도없이 0.7% 적립국내 모든 가맹점 이용금액', '롯데월드, 에버랜드 50% 현장할인캐리비안베이 30% 현장할인', '1매당 3,500원 청구할인인터파크에서 영화/공연 예매 시', '최대1.2% 포인트리 적립KB손해보험, 삼성화재 등에서', '최대 1.2% 포인트리 적립SKT, KT , LG U+ 통신요금', '최대 1.2% 포인트리 적립CU,GS25,미니스톱 등 편의점에서', '최대1.2% 포인트리 적립SK, GS칼텍스 등 주유소가맹점에서', '최대1.2% 포인트리 적립이마트, 홈플러스 등 할인점/슈퍼마켓에서', '최대1.2% 포인트리 적립올리브영, 아리따움 등 화장품가맹점에서', '최대1.2% 포인트리 적립교육 가맹점에서']"
기업은행 마일앤조이카드,"['항공', '레저', '프리미엄', '교통']","['항공', '레저', '인천, 김포공항 발렛파킹 서비스 제공공항 라운지 무료 이용!인천공항 무료 교통 서비스인천공항 아메리카노 커피 무료제공', 'KTX, SRT 일반석 10% 할인']"
카드의정석 EVERY MILE SKYPASS,"['연회비지원', '항공', '프리미엄']","['온라인 신규 연회비 100% 캐시백', 'SKYPASS 최대 2마일 적립해외수수료 면제실적 산정 방법 안내마일리지 적립안내적립 제공 시 유의사항', '국내 공항라운지 무료이용 서비스']"
KT DC PLUS 롯데카드,['통신'],['KT 통신비 최대 1만3천원 할인']
교원 웰스 KB국민카드,"['렌탈', '한식/일식/중식/양식', '영화/공연', '레저']","['최대 2만원 청구할인교원 웰스 렌탈료 자동이체 시', '패밀리레스토랑 20% 할인', '인터파크 영화/공연 예매 3,500원 할인', '롯데월드,에버랜드 50% 현장할인캐리비안베이 30% 현장할인']"
현대카드 대한항공카드 070,"['항공', '프리미엄', '쇼핑', '자동차서비스', '커피전문점', '결제대행(PG)', '문화']","['웰컴보너스 5천 마일 적립1천원당 1마일, 최대 2마일 적립', '항공/면세 1천원당 2마일 적립MasterCard 플래티넘서비스인천공항 라운지 연 2회 무료 이용', '국내 면세점 1천원당 2마일 적립', '서울 및 대도시 주말 무료 주차', '커피전문점 스타벅스, 폴바셋, 이디야결제 건당 500원 할인', '단 한번의 클릭으로 온라인 결제 완료대한항공 결제대행(PG)/현대카드 앱카드', '슈퍼콘서트 20% 할인현대카드 라이브러리 무료 입장']"
